State,LGA,Election ID,Election Name,Election Date,Ward,Ward Code,Ward ID,Polling Unit,PU Code,PU ID,Polling Unit ID,Result Updated Time,Session,Ballots Issued,Ballots Used,Invalid Votes,Result Info PU,Total Accredited,Total Registered,Valid Votes,Image File,Image URL
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,FRONT OF OBA'S PALACE - ARAROMI OBO,13/13/01/006,6a35bd2fb4e45d80b33a74ce,38326,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,ADEOSUN COMPOUND / H. ADEOSUN 'S  COMPOUND I,13/13/01/004,6a35bd2fb4e45d80b33a74cd,38324,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,OPEN SPACE AT OLORUNFEMI AREA,13/13/01/008,6a35bd2fb4e45d80b33a74d2,125779,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,NEAR ADEOSUN COMPOUND / H. ADEOSUN 'S  COMPOUND II,13/13/01/005,6a35bd2fb4e45d80b33a74cf,38325,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,ST DAVID'S PRIMARY SCHOOL / MATERNITY AREA,13/13/01/001,6a35bd2fb4e45d80b33a74cb,38321,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,FRONT OF MATERNITY / MATERNITY AREA,13/13/01/002,6a35bd2fb4e45d80b33a74d0,38322,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,EGBIRA FARM SETTLEMENT / EGBIRA FARM SETTLEMENT,13/13/01/003,6a35bd2fb4e45d80b33a74cc,38323,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,AFAO,01,5f0f3be78f77bb3acad0990a,OPEN SPACE AT TEMIDIRE AREA,13/13/01/007,6a35bd2fb4e45d80b33a74d1,125778,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,ODO ODE - ODO ODE AREA,13/13/02/007,6a35bd2eb4e45d80b33a700f,38333,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,OKE AAFIN COMPOUND - OKE AAFIN,13/13/02/004,6a35bd2eb4e45d80b33a7014,38330,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,AYEGUNLE  I - AYEGUNLE AREA,13/13/02/005,6a35bd2eb4e45d80b33a7011,38331,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,AYEGUNLE  II - AYEGUNLE AREA,13/13/02/006,6a35bd2eb4e45d80b33a7010,38332,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,COURT HALL - APANISILE AREA,13/13/02/008,6a35bd2eb4e45d80b33a7016,38334,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,COMMUNITY SCHOOL - OLAOFE COMPOUND,13/13/02/003,6a35bd2eb4e45d80b33a7015,38329,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,ILAWEMO COMPOUND - ILAWEMO AREA,13/13/02/009,6a35bd2eb4e45d80b33a7013,38335,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,NEAR ILAWEMO HOUSE - ILAWEMO AREA,13/13/02/010,6a35bd2eb4e45d80b33a7018,38336,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,FRONT IDEMORUN COMPOUND - IDEMORUN COMPOUND I,13/13/02/001,6a35bd2eb4e45d80b33a7012,38327,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,ARE,02,5f0f3be78f77bb3acad0990b,NEAR IDEMORUN COMPOUND - IDEMORUN COMPOUND II,13/13/02/002,6a35bd2eb4e45d80b33a7017,38328,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,AJIBADE COMPOUND - AJIBADE COMPOUND,13/13/07/003,6a35bd2fb4e45d80b33a7338,38402,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,ELEMOBA COMPOUND - OISEMO / AWOLOKUN / ELEMOBA,13/13/07/006,6a35bd2fb4e45d80b33a733d,38405,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,ANISULAJA COMPOUND - ANISULAJA COMPOUND,13/13/07/005,6a35bd2fb4e45d80b33a7342,38404,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,BAPTIST PRIMARY SCHOOL - ELEMOKANSE / ISOLO / ASALU  II,13/13/07/002,6a35bd2fb4e45d80b33a7339,38401,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,DADA DAPO COMPOUND - DADA DAPO AREA,13/13/07/008,6a35bd2fb4e45d80b33a733e,38407,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,OLORO COMPOUND - OLORO,13/13/07/009,6a35bd2fb4e45d80b33a733a,38408,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,BAPTIST PRIMARY SCHOOL - ELEMOKANSE / ISOLO / ASALU  I,13/13/07/001,6a35bd2fb4e45d80b33a733f,38400,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,EJIGBO COMPOUND - EJIGBO COMPOUND,13/13/07/011,6a35bd2fb4e45d80b33a733b,38410,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,ISOLO COMPOUND - ISOLO COMPOUND,13/13/07/004,6a35bd2fb4e45d80b33a7340,38403,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,EREDE SQUARE - EREDE SQUARE,13/13/07/010,6a35bd2fb4e45d80b33a733c,38409,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   III,07,5f0f3be88f77bb3acad09910,EHINOLA COMPOUND - EHINOLA COMPOUND,13/13/07/007,6a35bd2fb4e45d80b33a7341,38406,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,COMMUNITY HALL - COMMUNITY HALL AREA,13/13/06/007,6a35bd2eb4e45d80b33a712c,38391,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,IGEDORA  - IGEDORA AREA,13/13/06/010,6a35bd2eb4e45d80b33a7131,38394,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,ODOLORO COMPOUND - ODOLORO COMPOUND,13/13/06/014,6a35bd2eb4e45d80b33a7136,38398,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,N' LAMECO - OLORO COMPOUND,13/13/06/011,6a35bd2eb4e45d80b33a712b,38395,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,IREMO COMPOND - IREMO COMPOUND,13/13/06/013,6a35bd2eb4e45d80b33a7130,38397,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,EDEMORUN COMPOUND - EDEMORUN COMPOUND,13/13/06/006,6a35bd2eb4e45d80b33a7135,38390,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,COURT HALL - AAFIN COMPOUND,13/13/06/001,6a35bd2eb4e45d80b33a7128,38385,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,OLULOGBO COMPOUND   II  - OLULOGBO COMPOUND,13/13/06/005,6a35bd2eb4e45d80b33a7129,38389,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,COMMUNITY 'A' - ARO COMPOUND,13/13/06/008,6a35bd2eb4e45d80b33a712d,38392,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,ILE ABIYE MATERNITY - OKE ODO,13/13/06/003,6a35bd2eb4e45d80b33a712e,38387,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,ARO HOUSE - ARO COMPOUND,13/13/06/009,6a35bd2eb4e45d80b33a7132,38393,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,ADARA COMPOUND - ADARA COMPOUND,13/13/06/002,6a35bd2eb4e45d80b33a7133,38386,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,FRONT OF POST OFFICE - POST OFFICE AREA,13/13/06/015,6a35bd2eb4e45d80b33a712a,38399,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,OLORO COMPOUND - OLORO COMPOUND,13/13/06/012,6a35bd2eb4e45d80b33a712f,38396,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   II,06,5f0f3be88f77bb3acad0990f,OLULOGBO COMPOUND  I  - OLULOGBO COMPOUND,13/13/06/004,6a35bd2eb4e45d80b33a7134,38388,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,COMMUNITY SCHOOL 'B' - OISINKIN COMPOUND,13/13/05/014,6a35bd2fb4e45d80b33a75dc,38383,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,ROUND ABOUT - UNRIN ROUND ABOUT,13/13/05/002,6a35bd2fb4e45d80b33a75e1,38371,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,ABE COMPOUND - ABE COMPOUND,13/13/05/013,6a35bd2fb4e45d80b33a75e6,38382,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,C. A. C. PRIMARY SCHOOL - IDOGUN / UTO AREA,13/13/05/008,6a35bd2fb4e45d80b33a75db,38377,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,ODOFIN HOUSE - ODOFIN HOUSE,13/13/05/005,6a35bd2fb4e45d80b33a75e0,38374,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,SAADE COMPOUND - SAADE COMPOUND,13/13/05/006,6a35bd2fb4e45d80b33a75e5,38375,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,OISAYA HOUSE - OLURI COMPOUND   II,13/13/05/012,6a35bd2fb4e45d80b33a75de,38381,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,ANGLICAN PRIMARY SCHOOL - NEPA AREA,13/13/05/003,6a35bd2fb4e45d80b33a75dd,38372,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,FRONT OF UJUMU - UJUMU'S COMPOUND,13/13/05/007,6a35bd2fb4e45d80b33a75e2,38376,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,OBANLA COMPOUND - OBANLA COMPOUND,13/13/05/015,6a35bd2fb4e45d80b33a75e3,38384,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,SOLO COMPOUND - SOLO COMPOUND,13/13/05/010,6a35bd2fb4e45d80b33a75e8,38379,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,ASAO COMPOUND - ASAO AREA,13/13/05/004,6a35bd2fb4e45d80b33a75e7,38373,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,ADARAMOLA COMPOUND - ADARAMOLA COMPOUND,13/13/05/001,6a35bd2fb4e45d80b33a75df,38370,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,FRONT OMODARA - OMODARA COMPOUND,13/13/05/009,6a35bd2fb4e45d80b33a75e4,38378,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IGEDE   I,05,5f0f3be88f77bb3acad0990e,FRONT OLURI - OLURI 'S COMPOUND,13/13/05/011,6a35bd2fb4e45d80b33a75da,38380,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OPEN SPACE AT ISABA,13/13/09/021,6a35bd2fb4e45d80b33a7606,125790,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OPEN SPACE AT UNITY AREA,13/13/09/013,6a35bd2fb4e45d80b33a760c,125782,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OPEN SPACE AT 2 IN 1 JUNCTION,13/13/09/012,6a35bd2fb4e45d80b33a7607,125781,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,AT ABA IGBIRA - IGBIRA FARM SETTLEMENT  I,13/13/09/002,6a35bd2fb4e45d80b33a7602,38428,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,AT ABA IGBIRA - IGBIRA FARM SETTLEMENT  II,13/13/09/003,6a35bd2fb4e45d80b33a75fd,38429,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,"OPEN SPACE AT MATERNITY, IJAFIN",13/13/09/017,6a35bd2fb4e45d80b33a760f,125786,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,IFELODUN NURSERY & PRIMARY↵SCHOOL,13/13/09/022,6a35bd2fb4e45d80b33a760a,125791,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,FRONT OF GABRIEL EGUNLUSI’S↵HOUSE,13/13/09/019,6a35bd2fb4e45d80b33a7605,125788,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OPEN SPACE AT AKINYEDE ESTATE,13/13/09/015,6a35bd2fb4e45d80b33a7610,125784,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,FRONT OF COKER OLOGUNTOYE’S↵HOUSE,13/13/09/020,6a35bd2fb4e45d80b33a760b,125789,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OKE ABO  I - OKE ABO AREA,13/13/09/004,6a35bd2fb4e45d80b33a7600,38430,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,IDOGUN I -  IDOGUN AREA,13/13/09/007,6a35bd2fb4e45d80b33a75ff,38433,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OKE EDE - OKE EDE AREA,13/13/09/010,6a35bd2fb4e45d80b33a75fb,38436,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,IDOGUN III  - IDOGUN AREA,13/13/09/009,6a35bd2fb4e45d80b33a7601,38435,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,COMMUNITY HIGH SCHOOL - IGBIRA FARM SETTLEMENT,13/13/09/001,6a35bd2fb4e45d80b33a75fc,38427,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OPEN SPACE AT OSEKITA JUNCTION,13/13/09/014,6a35bd2fb4e45d80b33a760d,125783,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,IN FRONT OF PA AJAYI’S HOUSE,13/13/09/011,6a35bd2fb4e45d80b33a7608,125780,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OKE ABO II - OKE ABO AREA,13/13/09/005,6a35bd2fb4e45d80b33a7603,38431,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,ILAYIN - ILAYIN AREA,13/13/09/006,6a35bd2fb4e45d80b33a75fe,38432,,,0,0,0,,0,0,0,,
Ekiti,IREPODUN / IFELODUN,6a35bb87b4e45d80b33a6e38,Governorship election - 2026-06-20 - EKITI,2026-06-20T00:00:00.000Z,IWOROKO,09,5f0f3be88f77bb3acad09912,OPEN SPACE AT ODO-ODO AREA,13/13/09/016,6a35bd2fb4e45d80b33a760e,125785,,,0,0,0,,0,0,0,,
